id,name,lat,lng,place_id,f_address,address,address2,city,state,zip,country,phone1,toll_free,hotline,fax,email_primary,email_secondary,web,contact,executive_director/th>,board_leader,year_founded,hours1,hours2,hours3,hours4,hours5,hours6,hours7,Services_Programs,Anti_Violence,Arts_Culture,Civic_Engagement,Community_Outreach_Education,hotlines,information_Education,legal,mental_health,older_adult,physical_health,youth,Social_media,facebook_url,twitter_url,donation_url,volunteer_url,instagram_url
56,JASMYN - Jacksonville Area Sexual Minority Youth Network,30.3187851,-81.6798417,ChIJTWRNcXC35YgRnbmc4MCqsJU,"929 Peninsular Pl, Jacksonville, FL 32204, USA",929 Peninsular Place,,Jacksonville,FL,32204,United States,904-389-3857,,,,,,http://jasmyn.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,The Center Kissimmee,28.2939663,-81.4066893,ChIJU0qUMRaE3YgR7fbhDj_PDKg,"17 W Monument Ave, Kissimmee, FL 34741, USA",17 W Monument Ave,,Kissimmee,FL,34741,United States,407-228-8272,,,,,,http://www.thecenterorlando.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Compass LGBTQ Community Center,26.61811,-80.0579454,ChIJaQLxDTTY2IgRTSCfuuoADTY,"201 N Dixie Hwy, Lake Worth, FL 33460, USA",201 N Dixie Highway,,Lake Worth,FL,33460,United States,561-533-9699,,,,,,http://www.compassglcc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Pridelines - Miami,25.8347958,-80.1878844,ChIJfZJbd2Kx2YgRxXxT3DC9dsc,"6360 NE 4th Ct, Miami, FL 33138, USA",6360 NE 4th Court,,Miami,FL,33138,United States,305-571-9601,,,,,,http://www.pridelines.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Naples Pride Center,26.132755,-81.766863,ChIJ74sSkc3j2ogRI2bvbYV8IXo,"2248 Airport-Pulling Rd, Naples, FL 34112, USA",2248 Airport Road South,,Naples,FL,34112,United States,239-304-9407,,,,,,http://www.naplespride.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Metro Inclusive Health,28.2284427,=B4,ChIJx2FvL9-RwogRUpmbLvVc2QY,"4747 US-19, New Port Richey, FL 34652, USA",4747 US 19 Hwy,,New Port Richey,FL,34652,United States,727-321-3854,,,,,,http://www.metrotampabay.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,The LGBT+ Center Orlando,28.5581158,-81.3647325,ChIJn0Ywq-t654gRrK90wWMG4oY,"946 N Mills Ave, Orlando, FL 32803, USA",946 N. Mills Avenue,,Orlando,FL,32803,United States,407-228-8272,,,,,,http://www.thecenterorlando.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Zebra Coalition,28.5571596,-81.3642815,ChIJ0zRBSep654gR3q8pwirPMDU,"911 N Mills Ave, Orlando, FL 32803, USA",911 Mills Avenue,,Orlando,FL,32803,United States,407-228-1446,,,,,,http://zebrayouth.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,The Center - LGBTQ Center of Bay County,30.1657037,=F66,EiwxNjA4IEJha2VyIEN0ICM2LCBQYW5hbWEgQ2l0eSwgRkwgMzI0MDEsIFVTQSIdGhsKFgoUChIJeRMwBLOGk4gRPPa2pCdIIrUSATY,"1608 Baker Ct #6, Panama City, FL 32401, USA",1608 Baker Court,Room 6,Panama City,FL,32401,United States,850-252-5145,,,,,,https://www.lgbtqcenterofbaycounty.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,ALSO Youth,27.3408358,-82.5409108,ChIJa8KgOg1Aw4gR698B-nIehIk,"1470 Boulevard of the Arts, Sarasota, FL 34236, USA",1470 Boulevard of the Arts,,Sarasota,FL,34236,United States,941-951-2576,,,,,,http://www.alsoyouth.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Metro Inclusive Health,27.7756576,-82.6774931,ChIJbXx75UziwogRGpsCfyx-1N4,"3251 3rd Ave N, St. Petersburg, FL 33713, USA",3251 3rd Avenue North,,St. Petersburg,FL,33713,United States,727-321-3854,,,,,,http://www.metrotampabay.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Metro Inclusive Health,27.9601514,-82.4448499,ChIJ14FMV1rEwogRph0ZSH7tMbQ,"1315 E 7th Ave, Tampa, FL 33605, USA",1315 East 7th Avenue,,Tampa,FL,33605,United States,727-321-3854,,,,,,http://www.metrotampabay.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Pride Center at Equality Park,26.15516,-80.132347,ChIJHUbz3ZkB2YgRVpbtligbFxI,"2040 N Dixie Hwy, Wilton Manors, FL 33305, USA",2040 N. Dixie Hwy,,Wilton Manors,FL,33305,United States,954-463-9005,,,,,,http://www.pridecenterflorida.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,SunServe,26.1571838,-80.1365342,ChIJCZYv5JsB2YgR32mOtkrQ3FI,"2312 Wilton Dr, Fort Lauderdale, FL 33305, USA",2312 Wilton Drive,,Wilton Manors,FL,33305,United States,954-764-5150,,,,,,http://www.sunserve.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,SOJOURN,33.7628538,-84.3375804,ChIJWWlxubYG9YgRvU-7S4hF-RQ,"1530 DeKalb Ave NE # A, Atlanta, GA 30307, USA",1530 Dekalb Ave,Suite A,Atlanta,GA,30307,United States,404-275-4637,,,,,,http://www.sojourngsd.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,First City Pride Center,32.061221,-81.099091,ChIJLXUAaz6e-4gRMz7zc8lb-os,"1515 Bull St, Savannah, GA 31401, USA",1515 Bull Street,,Savannah,GA,31401,United States,912-304-5428,,,,,,https://www.firstcitypridecenter.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,West Hawaii Community Health Center - Kailua-Kona,19.6386477,-155.9907823,ChIJYwrYcPwOVHkRrz8OWlqDpkA,"75-5751 Kuakini Hwy #104, Kailua-Kona, HI 96740, USA",75-5751 Kuakini Highway,Ste. 104,Kailua-Kona,HI,96740,United States,808-326-5629,,,,,,https://www.westhawaiichc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,West Hawaii Community Health Center - Kealakehe,19.6654745,-155.9907113,ChIJg3vLEo8OVHkRATk6kcQIRlw,"74-5214 Keanalehu Dr, Kailua-Kona, HI 96740, USA",74-5214 Keanalehu Drive,,Kailua-Kona,HI,96740,United States,808-355-5600,,,,,,https://www.westhawaiichc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,West Hawaii Community Health Center - Kealakekua,19.5177033,-155.9214682,ChIJmXcg_usGVHkRC1O11vsNfMk,"81-980 Halekii St # 107, Kealakekua, HI 96750, USA",81-980 Haleki’i Street,Ste. 107,Kealakekua,HI,96750,United States,808-324-0703,,,,,,https://www.westhawaiichc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,West Hawaii Community Health Center - Waikoloa,19.9276979,-155.7873275,ChIJ0yEV1jyGU3kRdonOsZRTG9Y,"68-1845 Waikoloa Rd, Waikoloa Village, HI 96738, USA",68-1845 Waikoloa Road,,Waikoloa,HI,96738,United States,808-769-5160,,,,,,https://www.westhawaiichc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Planned Parenthood - Honolulu Health Center,21.3040572,-157.8503445,ChIJMQhmN-dtAHwR5Ce1PZClZcU,"839 S Beretania St, Honolulu, HI 96813, USA",839 S Beretania Street,,Honolulu,HI,96813,United States,800-769-0045,,,,,,https://www.plannedparenthood.org/health-center/hawaii/honolulu/96813/honolulu-health-center-2951-91810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Affinity Community Services,41.842454,-87.625632,ChIJW_l52W0pDogRJIu-GrLjuXk,"2850 S Wabash Ave #108, Chicago, IL 60616, USA",2850 S. Wabash Ave,108,Chicago,IL,60616,United States,773-324-0377,,,,info@affinity95.org,,http://www.affinity95.org/,,,,,Monday: 10:00 am - 6:00 pm,Tuesday: 10:00 am - 6:00 pm,Wednesday: 10:00 am - 6:00 pm,Thursday: 10:00 am - 6:00 pm,Friday: 10:00 am - 6:00 pm,Saturday: Closed,Sunday: Closed,,,,,,,,,,,,,,,,,,
78,Brave Space Alliance,41.7997305,-87.5885496,ChIJm259BHIpDogRK_uktsrpM7k,"1515 E 52nd Pl 3rd Floor, Chicago, IL 60615, USA",1515 E 52nd PL,3rd Floor,Chicago,IL,60615,United States,872-333-5199,,,,info@bravespacealliance.org,,https://www.bravespacealliance.org/,,,,,Monday: 10:00 am - 5:00 pm,Tuesday: 10:00 am - 5:00 pm,Wednesday: 10:00 am - 5:00 pm,Thursday: 10:00 am - 5:00 pm,Friday: 10:00 am - 5:00 pm,Saturday: Closed,Sunday: Closed,,,,,,,,,,,,,,,,,,
79,"Clock, Inc",41.4673618,-90.5437069,ChIJG-lOijgy4ocRDxm_fFuZVqM,"4102 46th Ave, Rock Island, IL 61201, USA",4102 46th Ave,,Rock Island,IL,61201,United States,309-558-0956,,,,info@clockinc.org,,http://www.clockinc.org/,,,,,Monday: 11:00 am - 7:00 pm,Tuesday: 11:00 am - 7:00 pm,Wednesday: 11:00 am - 7:00 pm,Thursday: 11:00 am - 7:00 pm,Friday: 11:00 am - 7:00 pm,Saturday: Closed,Sunday: Closed,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
